area_gr,area_en,region_gr,region_en,geo_department_gr,geo_department_en,last_updated_at,longtitude,latitude,population,new_cases,new_deaths
ΛΕΣΒΟΥ,Lesbos,Βορείου Αιγαίου,North Aegean,Νησιά Αιγαίου Πελάγους,Aegean Islands,2023-04-26,26.277707300000003,39.264509499999996,103698,89,0
ΛΕΥΚΑΔΑΣ,Lefkada,Ιονίων Νήσων,Ionian Islands,Νησιά Ιονίου Πελάγους,Ionian Islands,2023-04-26,20.640729999999998,38.7066464,23693,80,0
ΜΑΓΝΗΣΙΑΣ,Magnesia,Θεσσαλίας,Thessaly,Θεσσαλία,Thessaly,2023-04-26,22.762883,39.2686199,203808,763,0
ΜΕΣΣΗΝΙΑΣ,Messenia,Πελοποννήσου,Peloponnese,Πελοπόννησος,Peloponnese,2023-04-26,21.9522491,37.1424653,159954,551,0
ΞΑΝΘΗΣ,Xanthi,Ανατολικής Μακεδονίας Θράκης,Eastern Macedonia and Thrace,Θράκη,Thrace,2023-04-26,24.8877024,41.1362513,111222,435,0
ΠΕΛΛΑΣ,Pella,Κεντρικής Μακεδονίας,Central Macedonia,Μακεδονία,Macedonia,2023-04-26,22.1430215,40.914803899999995,139680,741,0
ΠΙΕΡΙΑΣ,Pieria,Κεντρικής Μακεδονίας,Central Macedonia,Μακεδονία,Macedonia,2023-04-26,22.4768287,40.2669099,126698,641,0
ΠΡΕΒΕΖΑΣ,Preveza,Ηπείρου,Epirus,Ήπειρος,Epirus,2023-04-26,20.7517155,38.9592649,57491,182,0
ΡΕΘΥΜΝΟΥ,Rethymno,Κρήτης,Crete,Κρήτη,Crete,2023-04-26,24.491983800000003,35.3655545,85609,357,0
ΡΟΔΟΠΗΣ,Rhodope,Ανατολικής Μακεδονίας Θράκης,Eastern Macedonia and Thrace,Θράκη,Thrace,2023-04-26,25.568108399999996,41.0795681,112039,292,0
ΣΑΜΟΥ,Samos,Βορείου Αιγαίου,North Aegean,Νησιά Αιγαίου Πελάγους,Aegean Islands,2023-04-26,26.9777701,37.7547857,42859,138,0
ΣΕΡΡΩΝ,Serres,Κεντρικής Μακεδονίας,Central Macedonia,Μακεδονία,Macedonia,2023-04-26,23.5483819,41.0863854,176430,810,0
ΤΡΙΚΑΛΩΝ,Trikala,Θεσσαλίας,Thessaly,Θεσσαλία,Thessaly,2023-04-26,21.7678951,39.5557317,131085,816,0
ΦΘΙΩΤΙΔΑΣ,Phthiotis,Στερεάς Ελλάδας και Εύβοιας,Central Greece,Στερεά Ελλάδα,Central Greece,2023-04-26,22.333776899999997,38.999784999999996,158231,747,0
ΦΛΩΡΙΝΑΣ,Florina,Δυτικής Μακεδονίας,Western Macedonia,Μακεδονία,Macedonia,2023-04-26,21.413122199999997,40.7845262,51414,192,0
ΦΩΚΙΔΑΣ,Phocis,Στερεάς Ελλάδας και Εύβοιας,Central Greece,Στερεά Ελλάδα,Central Greece,2023-04-26,22.1430215,38.5598641,40343,68,0
ΧΑΛΚΙΔΙΚΗΣ,Chalkidiki,Κεντρικής Μακεδονίας,Central Macedonia,Μακεδονία,Macedonia,2023-04-26,23.287085,40.369499700000006,107719,405,0
ΧΑΝΙΩΝ,Chania,Κρήτης,Crete,Κρήτη,Crete,2023-04-26,24.0180367,35.513829799999996,156585,782,0
ΧΙΟΥ,Chios,Βορείου Αιγαίου,North Aegean,Νησιά Αιγαίου Πελάγους,Aegean Islands,2023-04-26,26.1310056,38.368182399999995,52674,188,0
