Περιφερειακή ενότητα,Αριθμός κρουσμάτων
Αθηνών,366
Ηλείας,43
Θεσσαλονίκης,31
Ανατολικής Αττικής,29
Πειραιώς,28
Καστοριάς,19
Αχαϊας,11
Κοζάνης,11
Λαρίσης,9
Έβρου,7
Ηρακλείου,6
Δυτικής Αττικής,5
Ζακύνθου,5
Μεσσηνίας,5
Ξάνθης,4
Πιερίας,4
Ιωαννίνων,3
Λέσβου,3
Εύβοιας,2
Κιλκίς,2
Σερρών,2
Αργολίδας,1
Άρτας,1
Βοιωτίας,1
Δωδεκανήσου,1
Ημαθίας,1
Λακωνίας,1
Λασιθίου,1
Μαγνησίας,1
Πρέβεζας,1
Τρικάλων,1
Φθιώτιδας,1
Χανίων,1
Υπό διερεύνηση,136
