Σχολείο/Δομή,Περιοχή,Διεύθυνση,Αναστολή έως και,Παρατηρήσεις:
7ο ΝΗΠΙΑΓΩΓΕΙΟ ΗΛΙΟΥΠΟΛΗΣ,ΗΛΙΟΥΠΟΛΕΩΣ,ΒΑΚΧΟΥ ΚΑΙ ΗΡΑΚΛΕΟΥΣ 21,29-10-2020,Αναστέλλει τη λειτουργία του το υποχρεωτικό τμήμα 3
60ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΘΗΝΩΝ,ΑΘΗΝΑΙΩΝ,ΑΙΜΟΝΟΣ ΚΑΙ ΤΗΛΕΦΑΝΟΥΣ,29-10-2020,Αναστέλλει τη λειτουργία του το τμήμα Α2
ΙΕΚ ΑΧΑΡΝΩΝ,ΑΧΑΡΝΩΝ,"Παπαναστασίου & Μετσόβου, Κόκκινος Μύλος",30-10-2020,Αναστέλλει τη λειτουργία του το τμήμα Α3 Ειδικότητα Προπονητής Αθλημάτων
ΕΝΙΑΙΟ ΕΙΔΙΚΟ ΕΠΑΓΓΕΛΜΑΤΙΚΟ ΓΥΜΝΑΣΙΟ - ΛΥΚΕΙΟ ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ ΚΑΙ ΓΙΑ ΚΩΦΟΥΣ-ΒΑΡΗΚΟΟΥΣ ΜΑΘΗΤΕΣ,ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,ΠΙΝΔΟΥ 27,03-11-2020,Αναστέλλει τη λειτουργία του το τμήμα Δ2
"ΙΔΙΩΤΙΚΟ ΓΕΛ ΕΚΠΑΙΔΕΥΤΗΡΙΑ ΔΟΥΚΑ ""ΠΑΛΛΑΔΙΟΝ ΛΥΚΕΙΟΝ"" (12967/04-09-1917)",ΑΜΑΡΟΥΣΙΟΥ,ΜΕΣΟΓΕΙΩΝ 151,02-11-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα ΛΒ3 και ΛΒ4
2ο ΕΣΠΕΡΙΝΟ ΕΠΑΛ ΑΧΑΡΝΩΝ,ΑΧΑΡΝΩΝ,ΠΤΟΛΕΜΑΪΔΟΣ ΚΑΙ ΝΕΖΕΡ,02-11-2020,Αναστέλλει τη λειτουργία του το τμήμα Γ Οικονομίας
50ο ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,ΑΘΗΝΑΙΩΝ,ΧΑΤΖΗΑΠΟΣΤΟΛΟΥ 74-76 ΚΑΙ ΔΟΡΔΟΥ,01-11-2020,
49ο ΓΥΜΝΑΣΙΟ ΑΘΗΝΑΣ - ΔΗΜΟΦΙΛΟΣ,ΑΘΗΝΑΙΩΝ,ΤΣΟΥΝΤΑ & ΒΟΥΤΥΡΑ & ΚΗΠΩΝ,29-10-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα Β3 & Β2/3 Αγγλικών έως και 22-10-2020 και τα τμήματα Γ2 και Γ3 έως και 29-10-2020
ΙΕΚ ΝΙΚΑΙΑΣ,ΝΙΚΑΙΑΣ - ΑΓΙΟΥ Ι. ΡΕΝΤΗ,Κινικίου 16 & Αγίου Ιωάννου,01-11-2020,Αναστέλλει τη λειτουργία του το τμήμα Βοηθός Νοσηλευτικής Τραυματολογίας
ΕΠΑΛ ΑΜΦΙΣΣΑΣ,ΔΕΛΦΩΝ,ΛΕΩΦΟΡΟΣ ΣΑΛΩΝΩΝ 48,01-11-2020,Αναστέλλει τη λειτουργία του το τμήμα Α1
