Σχολείο/Δομή,Περιοχή,Διεύθυνση,Αναστολή έως και,Παρατηρήσεις:
1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΘΑΣΟΥ,ΘΑΣΟΥ,"ΠΙΕΡ ΝΤΕ ΒΑΜΠΕΖ, 1",28-10-2020,Αναστέλλει τη λειτουργία του το τμήμα Ε1
1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΖΕΦΥΡΙΟΥ,ΦΥΛΗΣ,ΦΙΛΙΚΗΣ ΕΤΑΙΡΕΙΑΣ ΚΑΙ ΠΑΠΑΦΛΕΣΣΑ 1,29-10-2020,Αναστέλλει τη λειτουργία του το τμήμα Α2
26ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΛΛΙΘΕΑΣ,ΚΑΛΛΙΘΕΑΣ,Αγίας Ελεούσας 28,28-10-2020,
10ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΛΛΙΘΕΑΣ,ΚΑΛΛΙΘΕΑΣ,ΑΧΙΛΛΕΩΣ 23,28-10-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα Δ1 και Δ2
ΙΔΙΩΤΙΚΟ ΔΗΜΟΤΙΚΟ ΕΚΠΑΙΔΕΥΤΗΡΙΑ ΓΕΙΤΟΝΑ ΑΕΜΕ,ΒΑΡΗΣ - ΒΟΥΛΑΣ - ΒΟΥΛΙΑΓΜΕΝΗΣ,ΣΤΕΡΝΙΖΕΣ ΚΟΡΩΠΙΟΥ,30-10-2020,"Αναστέλλουν τη λειτουργία τους τα τμήματα ΣΤ4, Αγγλικών (ENGL 5) & Γαλλικών (FR 2)"
ΙΔΙΩΤΙΚΟ ΛΥΚΕΙΟ ΘΕΜΙΣΤΟΚΛΗΣ,ΠΕΙΡΑΙΩΣ,ΚΟΥΜΟΥΝΔΟΥΡΟΥ 175,29-10-2020,Αναστέλλει τη λειτουργία του το τμήμα Α1
"ΙΔΙΩΤΙΚΟ ΓΥΜΝΑΣΙΟ ""ΘΕΜΙΣΤΟΚΛΗΣ""",ΠΕΙΡΑΙΩΣ,Κουμουνδούρου 175,28-10-2020,Αναστέλλει τη λειτουργία του το τμήμα Γ1
8ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΠΕΙΡΑΙΑ,ΠΕΙΡΑΙΩΣ,ΔΗΜΗΤΡΑΚΟΠΟΥΛΟΥ 116,30-10-2020,Αναστέλλει τη λειτουργία του το τμήμα Α4
2ο ΓΥΜΝΑΣΙΟ ΚΕΡΑΤΣΙΝΙΟΥ,ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ,ΔΕΜΕΡΤΖΗ ΚΑΙ ΕΛΛΗΣ 1,30-10-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα Γ1 και Γ2
1ο ΕΠΑΛ ΔΡΑΠΕΤΣΩΝΑΣ,ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ,Μ. ΜΠΟΤΣΑΡΗ 124,28-10-2020,Αναστέλλει τη λειτουργία του το τμήμα Α3
12ο ΓΥΜΝΑΣΙΟ ΠΕΡΙΣΤΕΡΙΟΥ,ΠΕΡΙΣΤΕΡΙΟΥ,ΦΙΛΙΚΩΝ 37,30-10-2020,Αναστέλλει τη λειτουργία του το τμήμα Γ1
3ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΑΜΑΡΟΥΣΙΟΥ,ΑΜΑΡΟΥΣΙΟΥ,ΚΥΡΙΛΟΥ ΚΑΙ ΠΕΛΙΚΑ,01-11-2020,Αναστέλλει τη λειτουργία του το τμήμα Α5
ΙΔΙΩΤΙΚΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΩΘΗΣΗ,ΔΙΟΝΥΣΟΥ,ΜΑΡΜΑΡΑ  7-9,30-10-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα Α2 και ΑΕ1
ΕΚΠΑΙΔΕΥΤΗΡΙΑ ΓΕΙΤΟΝΑ ΑΕΜΕ,ΒΑΡΗΣ - ΒΟΥΛΑΣ - ΒΟΥΛΙΑΓΜΕΝΗΣ,ΣΤΕΡΝΙΖΕΣ ΚΟΡΩΠΙΟΥ,30-10-2020,"Αναστέλλουν τη λειτουργία τους τα τμήματα Β1, ΕΝ3 Αγγλικών & FR1 Γαλλικών"
6ο ΓΥΜΝΑΣΙΟ ΑΧΑΡΝΩΝ,ΑΧΑΡΝΩΝ,Φιλιατών 1 και Ροδόπης,30-10-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα Β3 και Γ1
2ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΒΟΥΛΑΣ,ΒΑΡΗΣ - ΒΟΥΛΑΣ - ΒΟΥΛΙΑΓΜΕΝΗΣ,ΠΡΟΟΔΟΥ - ΒΟΥΛΙΑΓΜΕΝΗΣ,29-10-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα Β4 και Β Θετ. 2
68ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΘΗΝΩΝ,ΑΘΗΝΑΙΩΝ,ΘΥΣΣΟΥ ΚΑΙ ΑΒΙΑΣ,29-10-2020,Αναστέλλει τη λειτουργία του το τμήμα Α1
5ο ΓΥΜΝΑΣΙΟ ΖΩΓΡΑΦΟΥ,ΖΩΓΡΑΦΟΥ,"ΜΕΓ. ΑΛΕΞΑΝΔΡΟΥ ΚΑΙ ΚΟΡΥΤΣΑΣ, ΓΟΥΔΗ",29-10-2020,Αναστέλλει τη λειτουργία του το τμήμα Β3
2ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΕΛΑΣΣΟΝΑΣ,ΕΛΑΣΣΟΝΑΣ,1ης  ΜΕΡΑΡΧΙΑΣ ΤΕΡΜΑ,28-10-2020,"Αναστέλλουν τη λειτουργία τους τα τμήματα A1, A2, B2 και E2"
18ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΤΡΙΚΑΛΩΝ,ΤΡΙΚΚΑΙΩΝ,ΚΗΠΑΚΙ,29-10-2020,Αναστέλλει τη λειτουργία του το τμήμα Ε1
35ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΤΡΙΚΑΛΩΝ,ΤΡΙΚΚΑΙΩΝ,ΜΑΚΡΟΝΗΣΟΥ ΚΑΙ ΙΘΑΚΗΣ,29-10-2020,ΑΝΑΣΤΟΛΗ ΛΕΙΤΟΥΡΓΙΑΣ Γ' ΤΑΞΗΣ
4ο ΝΗΠΙΑΓΩΓΕΙΟ ΤΡΙΚΑΛΩΝ,ΤΡΙΚΚΑΙΩΝ,ΠΕΜΠΤΗ ΠΑΡ ΚΑΛΑΜΠΑΚΑΣ,31-10-2020,
27ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΤΡΙΚΑΛΩΝ - ΑΡΙΣΤΕΙΔΗΣ ΠΑΠΠΑΣ,ΤΡΙΚΚΑΙΩΝ,ΕΥΚΛΗ 13,28-10-2020,Αναστέλλει τη λειτουργία του το τμήμα Δ1
7ο ΓΥΜΝΑΣΙΟ ΤΡΙΚΑΛΩΝ,ΤΡΙΚΚΑΙΩΝ,ΣΥΡΟΥ 50,01-11-2020,Αναστέλλει τη λειτουργία του το τμήμα Α3
2ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΝΕΑΣ ΙΩΝΙΑΣ,ΝΕΑΣ ΙΩΝΙΑΣ,ΑΝΔΡΕΑ ΚΑΛΒΟΥ 103,01-11-2020,Αναστέλλει τη λειτουργία του το τμήμα Α1
4ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΤΡΙΚΑΛΩΝ - ΑΛΕΞΑΝΔΡΟΣ ΠΑΠΑΔΙΑΜΑΝΤΗΣ,ΤΡΙΚΚΑΙΩΝ,Ζηνοδότου 4,01-11-2020,
ΕΙΔΙΚΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΗΡΑΚΛΕΙΟ-ΚΡΗΤΗΣ - ΕΙΔΙΚΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΩΦΩΝ ΒΑΡΗΚΟΩΝ ΗΡΑΚΛΕΙΟΥ,ΗΡΑΚΛΕΙΟΥ,ΓΕΡΟΥΛΑΝΟΥ 32,29-10-2020,
57ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΗΡΑΚΛΕΙΟΥ,ΗΡΑΚΛΕΙΟΥ,ΠΑΠΑΓΙΑΝΝΗ ΣΚΟΥΛΑ 10,29-10-2020,Αναστέλλει τη λειτουργία του το τμήμα ΣΤ2
3ο ΓΥΜΝΑΣΙΟ ΓΙΑΝΝΙΤΣΩΝ ΠΕΛΛΑΣ,ΠΕΛΛΑΣ,Κ. ΒΑΡΝΑΛΗ 1,30-10-2020,
ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΠΡΟΜΑΧΟΙ,ΑΛΜΩΠΙΑΣ,ΠΡΟΜΑΧΟΙ,28-10-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα Α1 και Α2
47ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ,ΗΡΑΚΛΕΙΟΥ,ΚΡΑΣΑΔΑΚΗ 19,29-10-2020,Αναστέλλει τη λειτουργία του το τμήμα ΣΤ1
1ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,ΝΕΑΠΟΛΕΩΣ 5,29-10-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα Γ1 και Γ Υγείας
ΝΗΠΙΑΓΩΓΕΙΟ ΒΡΙΝΑ,ΑΝΔΡΙΤΣΑΙΝΑΣ-ΚΡΕΣΤΕΝΩΝ,ΒΡΙΝΑ,28-10-2020,
3ο ΝΗΠΙΑΓΩΓΕΙΟ ΜΕΤΑΜΟΡΦΩΣΗΣ,ΜΕΤΑΜΟΡΦΩΣΕΩΣ,ΗΛΕΙΑΣ 27,28-10-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα 2ο Υποχρεωτικό & Ολοήμερο
1ο ΕΠΑΛ ΓΙΑΝΝΙΤΣΩΝ,ΠΕΛΛΑΣ,ΠΕΝΤΑΠΛΑΤΑΝΟΣ,28-10-2020,ΑΝΑΣΤΟΛΗ ΛΕΙΤΟΥΡΓΙΑΣ Β' ΤΑΞΗΣ
5ο ΓΥΜΝΑΣΙΟ ΠΕΡΙΣΤΕΡΙΟΥ,ΠΕΡΙΣΤΕΡΙΟΥ,ΚΑΤΣΑΝΤΩΝΗ 16,28-10-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα Γ1 & Γ2
3ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΕΤΑΜΟΡΦΩΣΗΣ,ΜΕΤΑΜΟΡΦΩΣΕΩΣ,ΚΟΖΑΝΗΣ 16,28-10-2020,Αναστέλλει τη λειτουργία του το τμήμα Γ2
ΕΠΑΛ ΤΗΝΟΥ,ΤΗΝΟΥ,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ 5,29-10-2020,Αναστέλλει τη λειτουργία του το τμήμα Γ1
ΕΕΕΕΚ ΠΑΡΑΜΥΘΙΑΣ,ΣΟΥΛΙΟΥ,ΠΑΡΑΜΥΘΙΑ,28-10-2020,
1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΤΟΧΗΣ,ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,ΚΑΤΟΧΗ,28-10-2020,ΑΝΑΣΤΟΛΗ ΛΕΙΤΟΥΡΓΙΑΣ Α' και Ε' ΤΑΞΕΩΝ και ΟΛΟΗΜΕΡΟΥ
ΗΜΕΡΗΣΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΕΡΥΜΑΝΘΕΙΑΣ ΑΧΑΪΑΣ,ΕΡΥΜΑΝΘΟΥ,ΕΡΥΜΑΝΘΕΙΑ,28-10-2020,ΑΝΑΣΤΟΛΗ ΛΕΙΤΟΥΡΓΙΑΣ Γ' ΤΑΞΗΣ
