Γεωγραφικό Διαμέρισμα,Περιφέρεια,county_normalized,county,county_en,pop_11,lat,lng,Πρωτεύουσα,cases,hospitalized,dead,critical,recovered,notes
Θεσσαλία,Θεσσαλίας,ΛΑΡΙΣΑΣ,Λαρίσης,Larissa,284325,39.639,22.4191,Λάρισα,131.0,,2.0,,,
Κρήτη,Κρήτης,ΛΑΣΙΘΙΟΥ,Λασιθίου,Lasithi,75381,35.0812,25.7102,Άγιος Νικόλαος,1.0,,,,,
Νησιά Αιγαίου Πελάγους,Βορείου Αιγαίου,ΛΕΣΒΟΥ,Λέσβου,Lesbos,103698,39.2645,26.2777,Μυτιλήνη,8.0,,,,,
Νησιά Ιονίου Πελάγους,Ιονίων Νήσων,ΛΕΥΚΑΔΑΣ,Λευκάδας,Lefkada,23693,,,Λευκάδα,1.0,,,,,
Θεσσαλία,Θεσσαλίας,ΜΑΓΝΗΣΙΑΣ,Μαγνησίας,Magnesia,203808,39.2686,22.7629,Βόλος,2.0,,,,,
Πελοπόννησος,Πελοποννήσου,ΜΕΣΣΗΝΙΑΣ,Μεσσηνίας,Messenia,159954,37.02737,22.109119,Καλαμάτα,7.0,,,,,
Θράκη,Ανατολικής Μακεδονίας & Θράκης,ΞΑΝΘΗΣ,Ξάνθης,Xanthi,111222,41.1363,24.8877,Ξάνθη,110.0,,12.0,,,
Αττική,Αττικής,ΠΕΙΡΑΙΩΣ ΚΑΙ ΝΗΣΩΝ,Πειραιώς,Piraeus,448997,,,,56.0,,,,,
Μακεδονία,Κεντρικής Μακεδονίας ,ΠΕΛΛΑΣ,Πέλλας,Pella,139680,,,Έδεσσα,2.0,,2.0,,,
Μακεδονία,Κεντρικής Μακεδονίας ,ΠΙΕΡΙΑΣ,Πιερίας,Pieria,126698,40.2702,22.5121,Κατερίνη,6.0,,,,,
Ήπειρος,Ηπείρου,ΠΡΕΒΕΖΑΣ,Πρεβέζης,Preveza,57491,,,Πρέβεζα,1.0,,,,,
Κρήτη,Κρήτης,ΡΕΘΥΜΝΟΥ,Ρεθύμνης,Rethymno,85609,,,Ρέθυμνο,1.0,,,,,
Θράκη,Ανατολικής Μακεδονίας & Θράκης,ΡΟΔΟΠΗΣ,Ροδόπης,Rhodope,112039,41.1224,25.4066,Κομοτηνή,1.0,,2.0,,,
Νησιά Αιγαίου Πελάγους,Βορείου Αιγαίου,ΣΑΜΟΥ,Σάμου,Samos,42859,,,Σάμος,1.0,,,,,
Μακεδονία,Κεντρικής Μακεδονίας ,ΣΕΡΡΩΝ,Σερρών,Serres,176430,,,Σέρρες,8.0,,1.0,,,
Θεσσαλία,Θεσσαλίας,ΤΡΙΚΑΛΩΝ,Τρικάλων,Trikala,131085,39.5557,21.7679,Τρίκαλα,1.0,,,,,
Στερεά Ελλάδα,Στερεάς Ελλάδας ,ΦΘΙΩΤΙΔΑΣ,Φθιώτιδος,Phthiotis,158231,,,Λαμία,5.0,,,,,
Μακεδονία,Δυτικής Μακεδονίας,ΦΛΩΡΙΝΑΣ,Φλώρινας,Florina,51414,,,Φλώρινα,1.0,,,,,
Στερεά Ελλάδα,Στερεάς Ελλάδας ,ΦΩΚΙΔΑΣ,Φωκίδας,Phocis,40343,,,Άμφισσα,,,,,,
Μακεδονία,Κεντρικής Μακεδονίας ,ΧΑΛΚΙΔΙΚΗΣ,Χαλκιδικής,Chalkidiki,107719,,,Πολύγυρος,,,,,,
Κρήτη,Κρήτης,ΧΑΝΙΩΝ,Χανίων,Chania,156585,,,Χανιά,1.0,,,,,
Νησιά Αιγαίου Πελάγους,Βορείου Αιγαίου,ΧΙΟΥ,Χίου,Chios,52674,,,Χίος,,,,,,
